epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3547.34,0.97212,0.5339,0.95722,0.89482,0.9285,0.9612,0.71722,1.0202,0.5226,0.97229,0.000812,0.000812,0.000812
62,3606.61,0.9745,0.54012,0.9681,0.89661,0.93703,0.97127,0.72207,1.02496,0.52322,0.97141,0.0007922,0.0007922,0.0007922
63,3665.9,0.95646,0.55579,0.95494,0.90824,0.94557,0.9767,0.71195,1.04904,0.53274,0.97706,0.0007724,0.0007724,0.0007724
64,3724.19,0.96122,0.536,0.96295,0.9145,0.92529,0.97225,0.72367,1.04214,0.52339,0.97985,0.0007526,0.0007526,0.0007526
65,3783.4,0.98571,0.54403,0.96045,0.91007,0.93967,0.97536,0.73197,1.01317,0.50107,0.97065,0.0007328,0.0007328,0.0007328
66,3843.2,0.98638,0.53336,0.9675,0.90278,0.9381,0.96887,0.72209,1.02971,0.51484,0.97357,0.000713,0.000713,0.000713
67,3901.76,0.95112,0.52005,0.9619,0.91389,0.93276,0.97089,0.72649,1.02084,0.50823,0.96984,0.0006932,0.0006932,0.0006932
68,3962.51,0.95947,0.52607,0.95681,0.90395,0.94023,0.96865,0.72376,1.00713,0.50783,0.96432,0.0006734,0.0006734,0.0006734
69,4019.26,0.95056,0.53406,0.9594,0.89856,0.95482,0.96983,0.72754,1.01996,0.50554,0.97124,0.0006536,0.0006536,0.0006536
70,4075.13,0.96477,0.5257,0.95427,0.89994,0.94066,0.96336,0.72374,1.02407,0.51251,0.9704,0.0006338,0.0006338,0.0006338
71,4132.02,0.9661,0.52355,0.95735,0.8971,0.94904,0.96697,0.72678,1.02707,0.51011,0.97261,0.000614,0.000614,0.000614
72,4190.66,0.94862,0.5191,0.95936,0.92432,0.93383,0.97415,0.73794,0.98997,0.49387,0.96117,0.0005942,0.0005942,0.0005942
73,4253.42,0.94603,0.51151,0.94724,0.90761,0.94358,0.96908,0.72508,1.01641,0.50313,0.97044,0.0005744,0.0005744,0.0005744
74,4312.05,0.94906,0.50256,0.9541,0.91624,0.93394,0.97284,0.72722,1.024,0.50661,0.96764,0.0005546,0.0005546,0.0005546
75,4373.14,0.94304,0.51562,0.95387,0.91113,0.94104,0.97072,0.73096,1.0027,0.51088,0.96383,0.0005348,0.0005348,0.0005348
76,4433.61,0.9406,0.51009,0.96009,0.91989,0.92956,0.97176,0.73213,1.00597,0.50178,0.96721,0.000515,0.000515,0.000515
77,4491.92,0.93101,0.51126,0.94198,0.91696,0.93063,0.9724,0.72727,1.02397,0.50008,0.97089,0.0004952,0.0004952,0.0004952
78,4551,0.94853,0.51042,0.96243,0.88024,0.94771,0.9637,0.72625,1.0131,0.50388,0.96683,0.0004754,0.0004754,0.0004754
79,4610.51,0.94947,0.52489,0.95874,0.89777,0.94557,0.97334,0.72858,1.02317,0.50242,0.96948,0.0004556,0.0004556,0.0004556
80,4666.89,0.93442,0.49883,0.94629,0.89703,0.94829,0.96967,0.73321,1.00533,0.49077,0.96453,0.0004358,0.0004358,0.0004358
81,4723.09,0.94929,0.51459,0.955,0.89988,0.94967,0.96875,0.73107,1.01331,0.49385,0.96686,0.000416,0.000416,0.000416
82,4780.44,0.92163,0.50174,0.94932,0.91422,0.91569,0.96863,0.73498,1.00391,0.51138,0.96546,0.0003962,0.0003962,0.0003962
83,4838.43,0.92347,0.50256,0.95196,0.9141,0.92956,0.97197,0.73587,0.99551,0.49654,0.96242,0.0003764,0.0003764,0.0003764
84,4899.05,0.92558,0.52724,0.9541,0.90935,0.9421,0.97199,0.73503,1.00751,0.49171,0.96317,0.0003566,0.0003566,0.0003566
85,4957.77,0.92626,0.49359,0.94768,0.91214,0.94174,0.97287,0.7319,1.01386,0.49846,0.9651,0.0003368,0.0003368,0.0003368
86,5015.63,0.9224,0.48941,0.94759,0.90291,0.95277,0.97353,0.73325,1.00902,0.49336,0.96254,0.000317,0.000317,0.000317
87,5072.83,0.93165,0.49806,0.95935,0.91746,0.92956,0.96806,0.73083,1.01345,0.49561,0.96456,0.0002972,0.0002972,0.0002972
88,5130.53,0.91558,0.49409,0.94708,0.9119,0.9413,0.97378,0.73771,0.99282,0.48583,0.96227,0.0002774,0.0002774,0.0002774
89,5188.47,0.91493,0.51989,0.94235,0.9283,0.92572,0.97649,0.73714,1.00094,0.48582,0.96427,0.0002576,0.0002576,0.0002576
90,5246.51,0.93026,0.50923,0.94074,0.91713,0.93597,0.96924,0.73334,0.99915,0.48768,0.96264,0.0002378,0.0002378,0.0002378
91,5316.42,0.90095,0.46239,0.9269,0.92414,0.91012,0.97241,0.72954,1.00748,0.4966,0.96653,0.000218,0.000218,0.000218
92,5374.9,0.89934,0.45377,0.92583,0.92511,0.91569,0.97285,0.73365,1.00048,0.48963,0.96411,0.0001982,0.0001982,0.0001982
93,5432.97,0.89338,0.45137,0.92711,0.88918,0.95902,0.97242,0.73648,0.99968,0.48326,0.96396,0.0001784,0.0001784,0.0001784
94,5495.24,0.89484,0.45181,0.92818,0.89619,0.93976,0.97362,0.73174,1.015,0.48517,0.96982,0.0001586,0.0001586,0.0001586
95,5552.76,0.89156,0.45323,0.93786,0.89667,0.94465,0.97308,0.73257,1.00708,0.48468,0.96625,0.0001388,0.0001388,0.0001388
96,5610.91,0.88889,0.45036,0.92871,0.91605,0.92,0.97197,0.73273,1.00034,0.48901,0.96487,0.000119,0.000119,0.000119
97,5668.92,0.88799,0.44828,0.92366,0.92938,0.91355,0.97142,0.73366,0.99926,0.48625,0.96244,9.92e-05,9.92e-05,9.92e-05
98,5726.65,0.89565,0.44585,0.93464,0.91946,0.91373,0.97052,0.73347,1.00576,0.49198,0.96415,7.94e-05,7.94e-05,7.94e-05
99,5784.98,0.88623,0.44732,0.93261,0.91947,0.91386,0.97005,0.73487,0.99935,0.4846,0.96217,5.96e-05,5.96e-05,5.96e-05
100,5843.4,0.88317,0.43945,0.91821,0.88806,0.95091,0.9706,0.73576,0.99667,0.48594,0.96169,3.98e-05,3.98e-05,3.98e-05
